,born out of state,population,income of > $75k,under 18,grad,undergrad,total in poverty,total African American,number of veterans,zipcode
131,716,500,104,211,0,17,18,0,258,59638
132,19552,8874,1537,5348,85,596,1851,25,6993,59714
133,509,228,42,110,0,14,51,0,222,59721
134,5713,2493,263,818,38,76,629,46,3216,59722
135,115,37,6,4,0,4,5,0,57,59743
136,2270,990,150,451,10,96,413,5,959,59825
137,145,76,17,20,0,7,17,0,76,59848
138,1238,186,0,502,0,33,585,0,387,59855
139,1295,915,91,148,3,0,145,0,647,59874
140,53331,24406,3421,13115,317,1672,6632,203,19597,59901
141,8312,4873,934,1506,34,268,824,32,3325,59911
142,542,238,45,94,0,0,125,0,219,59913
143,241,129,19,19,4,0,11,0,111,59914
144,1336,830,97,244,2,62,375,0,565,59925
145,373,195,0,27,0,12,177,0,208,59926
146,314,154,37,44,0,0,64,0,131,59931
147,421,240,29,34,2,39,120,0,209,59936
148,13656,8264,1813,2536,34,347,1474,1,5740,59937
149,9453,4945,404,1699,62,361,1502,1,4020,59923
150,64,40,0,5,0,0,5,0,37,59933
151,334,132,61,41,0,0,0,0,155,59223
152,9,7,1,0,0,0,0,0,5,59081
153,5581,1156,220,1919,12,135,1470,9,1772,59201
154,72,41,20,5,1,4,2,0,35,59242
155,65,31,20,0,0,0,11,0,45,59257
156,613,169,62,159,0,29,147,0,214,59434
157,647,200,40,128,0,18,88,0,252,59410
158,227,46,22,77,0,0,6,0,76,59420
159,392,139,39,80,8,6,32,7,159,59430
160,2105,675,175,619,0,43,125,0,695,59436
161,139,20,5,22,0,0,10,0,75,59440
162,189,54,3,11,0,6,57,0,110,59460
163,123,22,18,27,0,9,7,0,46,59467
164,745,275,63,232,13,22,134,1,234,59468
165,766,211,41,120,7,24,97,0,326,59479
166,619,146,74,110,17,37,47,0,237,59482
167,2233,452,126,527,0,17,387,10,858,59523
168,2478,441,81,827,3,89,1024,6,749,59526
169,253,57,12,66,1,0,33,0,98,59528
170,188,12,6,46,0,0,22,0,79,59529
171,309,67,28,98,0,0,16,0,124,59531
172,199,49,2,21,0,0,15,0,94,59532
173,15,0,0,0,0,0,0,0,10,59545
174,55,11,0,13,0,0,0,0,24,59547
175,4034,1958,321,827,10,79,330,4,1563,59644
176,362,155,28,40,0,25,28,0,180,59728
177,287,112,21,67,0,6,85,0,106,59735
178,4282,1879,352,1132,19,144,286,0,1632,59741
179,105,64,13,8,0,0,15,0,57,59746
180,139,62,21,10,0,9,17,0,68,59748
181,216,135,22,20,0,0,58,0,89,59755
182,8229,3983,883,1753,93,477,918,4,2951,59804
183,488,378,71,77,9,0,32,0,185,59826
184,653,586,26,138,8,16,93,0,243,59844
185,1200,585,27,214,5,25,392,0,502,59845
186,7152,2244,307,2179,50,327,1831,30,2379,59864
187,10324,5760,664,2380,88,230,1075,0,4119,59870
188,27258,9955,2419,6479,240,954,2425,67,10005,59404
189,3655,407,103,1250,4,162,1336,3,1204,59255
190,34,13,0,0,0,0,0,0,27,59276
191,69,30,0,26,3,0,8,0,23,59322
192,157,20,9,51,0,0,25,0,63,59343
193,1751,757,156,353,12,31,222,7,650,59421
194,66,20,8,7,0,0,2,0,24,59424
195,1746,552,124,338,3,48,64,0,671,59442
196,518,237,24,54,0,69,323,0,270,59919
197,2257,1241,163,400,59,45,529,0,948,59922
198,142,72,16,14,0,0,30,0,57,59851
199,1365,571,109,277,8,12,132,0,577,59858
200,74,25,31,0,0,0,0,0,50,59867
201,14409,6983,762,3142,108,281,2124,23,5358,59912
202,374,228,10,69,0,31,43,0,134,59927
203,344,167,12,82,0,5,55,0,138,59929
204,516,390,33,87,0,14,89,0,201,59934
205,3350,2003,163,415,22,25,525,3,1457,59935
206,5279,2374,556,1063,10,250,289,0,2000,59833
207,2607,1291,322,813,0,3,94,0,863,59834
208,24,8,7,0,0,12,0,0,3,59842
209,217,76,7,40,0,5,20,0,79,59843
210,1054,612,170,158,17,0,14,0,468,59846
211,1441,733,123,188,4,0,155,0,684,59868
212,3891,2526,190,716,26,68,945,0,1640,59875
213,598,281,62,115,0,28,40,0,237,59910
214,615,407,22,144,0,0,102,3,258,59918
215,1735,1043,176,340,9,21,109,0,737,59920
216,133,27,3,21,0,1,3,0,63,59745
217,2348,1652,360,484,26,51,309,20,987,59716
218,8017,3806,525,1507,39,980,1259,2,3203,59725
219,275,152,9,101,0,22,12,0,99,59733
220,2084,979,101,424,10,64,294,0,793,59823
