born out of state,population,income of > $75k,under 18,grad,undergrad,total in poverty,total African American,number of veterans,zipcode
129,241,19,19,4,0,11,0,111,59914
830,1336,97,244,2,62,375,0,565,59925
195,373,0,27,0,12,177,0,208,59926
154,314,37,44,0,0,64,0,131,59931
240,421,29,34,2,39,120,0,209,59936
8264,13656,1813,2536,34,347,1474,1,5740,59937
4945,9453,404,1699,62,361,1502,1,4020,59923
40,64,0,5,0,0,5,0,37,59933
132,334,61,41,0,0,0,0,155,59223
7,9,1,0,0,0,0,0,5,59081
1156,5581,220,1919,12,135,1470,9,1772,59201
41,72,20,5,1,4,2,0,35,59242
31,65,20,0,0,0,11,0,45,59257
169,613,62,159,0,29,147,0,214,59434
200,647,40,128,0,18,88,0,252,59410
46,227,22,77,0,0,6,0,76,59420
139,392,39,80,8,6,32,7,159,59430
675,2105,175,619,0,43,125,0,695,59436
20,139,5,22,0,0,10,0,75,59440
54,189,3,11,0,6,57,0,110,59460
22,123,18,27,0,9,7,0,46,59467
275,745,63,232,13,22,134,1,234,59468
211,766,41,120,7,24,97,0,326,59479
146,619,74,110,17,37,47,0,237,59482
452,2233,126,527,0,17,387,10,858,59523
441,2478,81,827,3,89,1024,6,749,59526
57,253,12,66,1,0,33,0,98,59528
12,188,6,46,0,0,22,0,79,59529
67,309,28,98,0,0,16,0,124,59531
49,199,2,21,0,0,15,0,94,59532
0,15,0,0,0,0,0,0,10,59545
11,55,0,13,0,0,0,0,24,59547
1958,4034,321,827,10,79,330,4,1563,59644
155,362,28,40,0,25,28,0,180,59728
112,287,21,67,0,6,85,0,106,59735
1879,4282,352,1132,19,144,286,0,1632,59741
64,105,13,8,0,0,15,0,57,59746
62,139,21,10,0,9,17,0,68,59748
135,216,22,20,0,0,58,0,89,59755
3983,8229,883,1753,93,477,918,4,2951,59804
378,488,71,77,9,0,32,0,185,59826
586,653,26,138,8,16,93,0,243,59844
585,1200,27,214,5,25,392,0,502,59845
2244,7152,307,2179,50,327,1831,30,2379,59864
5760,10324,664,2380,88,230,1075,0,4119,59870
9955,27258,2419,6479,240,954,2425,67,10005,59404
407,3655,103,1250,4,162,1336,3,1204,59255
13,34,0,0,0,0,0,0,27,59276
30,69,0,26,3,0,8,0,23,59322
20,157,9,51,0,0,25,0,63,59343
757,1751,156,353,12,31,222,7,650,59421
20,66,8,7,0,0,2,0,24,59424
552,1746,124,338,3,48,64,0,671,59442
237,518,24,54,0,69,323,0,270,59919
1241,2257,163,400,59,45,529,0,948,59922
72,142,16,14,0,0,30,0,57,59851
571,1365,109,277,8,12,132,0,577,59858
25,74,31,0,0,0,0,0,50,59867
6983,14409,762,3142,108,281,2124,23,5358,59912
228,374,10,69,0,31,43,0,134,59927
167,344,12,82,0,5,55,0,138,59929
390,516,33,87,0,14,89,0,201,59934
2003,3350,163,415,22,25,525,3,1457,59935
2374,5279,556,1063,10,250,289,0,2000,59833
1291,2607,322,813,0,3,94,0,863,59834
8,24,7,0,0,12,0,0,3,59842
76,217,7,40,0,5,20,0,79,59843
612,1054,170,158,17,0,14,0,468,59846
733,1441,123,188,4,0,155,0,684,59868
2526,3891,190,716,26,68,945,0,1640,59875
281,598,62,115,0,28,40,0,237,59910
407,615,22,144,0,0,102,3,258,59918
1043,1735,176,340,9,21,109,0,737,59920
27,133,3,21,0,1,3,0,63,59745
1652,2348,360,484,26,51,309,20,987,59716
3806,8017,525,1507,39,980,1259,2,3203,59725
152,275,9,101,0,22,12,0,99,59733
979,2084,101,424,10,64,294,0,793,59823
233,420,27,55,4,0,31,0,178,59837
159,397,26,80,2,5,19,0,147,59344
220,1054,51,279,0,0,189,0,386,59414
72,400,37,75,10,9,40,1,186,59416
36,308,7,70,0,0,124,0,120,59444
32,125,7,4,8,5,25,0,51,59462
3,25,0,3,0,0,0,0,14,59465
120,564,50,136,0,19,81,0,188,59483
271,1192,56,317,0,13,174,0,462,59520
385,1723,138,240,0,29,228,0,716,59522
35,80,0,18,0,0,30,0,28,59535
13794,30611,2807,5564,288,2153,4278,170,11922,59601
176,514,62,87,0,0,57,0,269,59643
3346,8942,580,1458,85,312,1639,28,3812,59711
3495,9037,635,1905,4,240,1255,8,3458,59457
193,478,37,66,1,16,47,0,227,59464
14,74,0,2,0,0,40,0,20,59546
230,479,57,75,18,18,106,0,277,59477
21,145,6,28,0,2,21,0,71,59542
100,231,14,52,0,8,58,0,89,59631
110,254,28,27,0,0,22,0,127,59710
207,422,39,81,0,7,29,0,170,59226
168,610,46,103,2,0,38,0,273,59248
15,154,26,44,0,0,12,0,57,59260
225,765,73,190,6,38,58,0,306,59262
534,1550,158,348,7,8,81,0,601,59263
160,341,31,68,1,6,36,0,141,59275
15,162,8,48,0,1,22,0,62,59339
0,31,1,2,0,0,0,0,17,59354
156,168,57,0,0,0,21,0,112,59720
886,1705,100,333,5,18,86,0,696,59749
128,395,22,74,7,8,16,0,179,59750
125,217,17,32,0,0,43,0,92,59751
201,433,0,5,0,0,0,3,368,59756
143,263,23,26,0,18,41,0,130,59762
873,2784,149,742,24,74,495,6,1060,59821
8375,13597,696,2304,50,314,2894,27,5435,59840
1774,2991,138,448,15,0,567,0,1248,59859
1363,3395,150,823,15,129,1105,1,1230,59865
512,982,18,330,8,8,355,0,353,59866
224,254,13,10,0,12,33,0,137,59871
2208,3625,160,809,0,58,801,0,1345,59873
110,379,0,134,0,23,72,0,102,59915
89,142,9,6,0,1,0,0,68,59916
2297,4828,169,1085,22,160,863,8,1723,59917
101,168,0,0,0,0,16,0,95,59928
34,89,4,15,0,0,0,0,41,59010
59,207,36,31,0,0,6,0,74,59013
235,512,36,130,0,12,37,0,205,59018
558,1541,154,352,0,35,72,0,622,59037
73,159,17,13,0,0,4,0,83,59052
107,575,27,198,0,14,194,0,196,59066
99,231,13,56,0,6,11,0,89,59067
60,149,39,17,0,0,0,0,62,59071
5,216,26,92,0,5,47,0,64,59075
20,71,5,12,0,0,23,0,25,59076
413,904,88,170,0,8,95,0,338,59086
170,393,34,59,5,0,23,0,164,59087
593,1518,103,332,0,73,304,0,602,59088
12536,30905,3184,8364,232,935,2425,249,10916,59105
77,166,12,67,0,3,7,0,59,59211
529,1122,108,174,2,19,70,0,459,59317
35,161,6,69,0,4,4,0,43,59318
3232,8654,635,1939,30,255,1015,48,3483,59330
1,14,0,0,0,0,0,0,7,59333
111,249,11,71,4,11,62,0,86,59012
768,1863,204,329,0,18,199,0,754,59014
243,2418,55,957,0,58,950,0,678,59022
20,45,8,0,0,0,7,0,23,59025
22,350,0,108,0,0,108,0,101,59031
134,365,24,81,0,0,36,5,138,59033
370,1366,52,281,1,8,251,0,546,59036
4663,11542,1089,2892,11,271,809,68,4212,59044
109,131,30,9,0,0,17,0,66,59065
571,1440,199,188,5,39,40,0,598,59001
112,239,16,67,0,32,48,0,72,59002
1299,3016,270,698,14,43,330,0,1104,59011
1848,4268,472,1103,8,124,292,18,1527,59019
67,142,13,22,0,4,18,0,67,59026
1472,5613,371,1804,48,125,1083,14,1843,59034
100,181,15,43,0,0,26,0,77,59035
176,417,26,102,2,1,83,0,144,59046
285,915,109,211,11,17,37,0,370,59070
2416,4394,295,967,0,48,779,39,1677,59072
157,302,24,50,0,2,33,30,131,59074
10,100,8,24,0,5,0,0,30,59077
135,404,8,87,0,5,116,0,168,59089
419,968,90,200,2,28,130,0,387,59324
862,2859,286,626,17,22,214,0,1109,59327
371,1119,63,265,0,1,99,0,440,59349
75,162,10,34,0,0,19,0,70,59351
5798,14242,869,2909,159,565,2620,253,5451,59401
13097,31381,1520,6948,491,1804,4220,762,10548,59405
628,7712,242,2565,21,309,2758,14,2507,59417
878,2376,141,434,15,76,266,14,993,59422
55,448,30,71,0,43,247,0,210,59456
15055,41436,2375,9933,246,1777,5873,400,16167,59101
23,104,4,17,0,0,0,0,42,59222
85,547,11,215,1,13,118,7,196,59225
126,532,29,68,3,20,110,0,224,59261
43,287,20,82,0,0,11,0,110,59274
53,90,12,17,0,0,4,0,38,59314
143,1085,16,344,0,44,276,0,339,59016
115,429,38,68,0,12,131,0,210,59032
212,1509,53,480,4,14,441,0,453,59050
67,276,27,49,0,5,43,0,119,59054
37,193,0,58,0,0,0,0,65,59064
1483,3398,308,972,24,126,276,0,1260,59079
94,269,38,70,6,4,42,0,106,59243
27,145,8,22,0,5,14,0,71,59250
90,383,39,88,1,0,33,0,163,59259
4000,8750,1051,2160,37,78,449,0,3380,59270
28,96,21,7,0,0,6,0,43,59315
675,2336,300,690,18,5,152,0,829,59323
556,1121,81,249,20,9,116,0,434,59353
121,531,49,88,0,19,50,0,237,59433
36,65,1,5,0,0,19,0,27,59441
148,593,35,124,0,33,159,0,225,59446
1031,1959,71,192,0,10,206,5,872,59872
530,1260,83,293,8,23,122,7,487,59487
18,124,10,0,0,0,10,0,66,59463
114,269,22,36,8,6,26,0,137,59471
100,623,54,232,4,0,12,0,216,59480
75,817,23,252,13,31,287,0,304,59524
103,1126,16,434,4,44,525,0,320,59527
2285,5063,767,1262,41,155,192,6,1925,59634
2413,7027,558,1713,7,237,594,13,2793,59635
262,529,25,57,2,8,72,0,222,59648
9789,33443,2351,6807,245,2274,6355,185,13268,59701
19396,47520,4107,9523,394,2367,4863,350,17156,59102
45,119,11,41,0,2,6,0,27,59338
176,472,40,86,4,8,50,0,213,59452
3334,12528,679,3102,37,845,2334,17,4776,59501
10,35,0,0,0,0,3,0,15,59642
40,111,10,15,0,0,0,0,49,59736
498,1366,60,390,4,33,146,16,464,59824
30,174,11,53,0,0,0,0,61,59469
1451,2278,273,310,59,11,131,6,966,59729
15321,32067,1448,5000,1182,6295,7821,137,13293,59801
582,1216,127,221,0,0,223,0,475,59932
